grade,subject,competency,region,cultural_context,intervention_type,user_message,assistant_message
Grade 6,Mathematics,MATH.G6.FRACTIONS,Nairobi,food_sharing,,How do I add fractions?,"To add fractions, they need the same denominator (bottom number). Think of sharing watermelon - you can't add 1/2 and 1/4 directly. First make them the same: 1/2 = 2/4, then 2/4 + 1/4 = 3/4. Like combining pieces of watermelon!"
Grade 6,Mathematics,MATH.G6.FRACTIONS,rural,food_sharing,,What does 1/2 mean?,"A fraction shows part of a whole. If you cut a chapati into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 6,Mathematics,MATH.G6.FRACTIONS,rural,food_sharing,,How do I add fractions?,"To add fractions, they need the same denominator (bottom number). Think of sharing mango - you can't add 1/2 and 1/4 directly. First make them the same: 1/2 = 2/4, then 2/4 + 1/4 = 3/4. Like combining pieces of mango!"
Grade 4,Mathematics,MATH.G4.MONEY,universal,market_shopping,,How do I calculate change from 500 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 500 bob, change = 500 - 80 = 420 shillings. Always count your change at the shop!"
Grade 5,Mathematics,MATH.G5.MONEY,rural,market_shopping,,How do I calculate change from 50 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 50 bob, change = 50 - 80 = -30 shillings. Always count your change at the shop!"
Grade 4,Mathematics,MATH.G4.MONEY,universal,market_shopping,,I have 500 bob and spend 1000 bob. How much left?,Subtract what you spend from what you have: 500 - 1000 = -500 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 6,Mathematics,MATH.G6.MEASUREMENT,universal,measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 4,Mathematics,MATH.G4.MEASUREMENT,Nairobi,measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 6,Mathematics,MATH.G6.MEASUREMENT,Nairobi,measurement,,How do I measure the area of my room?,"Area measures the space inside. For a rectangle room, multiply length × width. If your room is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 5,Mathematics,MATH.G5.MONEY,Nairobi,market_shopping,,"If sukuma wiki costs 150 shillings, how much for 3?",Multiply the cost by the quantity: 150 × 3 = 450 shillings. This is useful at the market or when buying multiple items. You can also add: 150 + 150 + 150 = 450 bob.
Grade 4,Mathematics,MATH.G4.FRACTIONS,Nairobi,food_sharing,,What is a fraction?,"A fraction shows part of a whole. If you cut a orange into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 4,Mathematics,MATH.G4.FRACTIONS,universal,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a watermelon into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 5,Mathematics,MATH.G5.MEASUREMENT,Mombasa,measurement,,What's the difference between area and perimeter?,"PERIMETER = distance around (like walking around the fence). AREA = space inside (like the ground for walking). For a rectangle: Perimeter = 2(length + width), Area = length × width. Different formulas for different purposes!"
Grade 4,Mathematics,MATH.G4.MONEY,rural,market_shopping,,"If unga costs 200 shillings, how much for 3?",Multiply the cost by the quantity: 200 × 3 = 600 shillings. This is useful at the market or when buying multiple items. You can also add: 200 + 200 + 200 = 600 bob.
Grade 6,Mathematics,MATH.G6.FRACTIONS,Nairobi,food_sharing,,What is a fraction?,"A fraction shows part of a whole. If you cut a watermelon into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 4,Mathematics,MATH.G4.MEASUREMENT,Nairobi,measurement,,What's the difference between area and perimeter?,"PERIMETER = distance around (like walking around the fence). AREA = space inside (like the ground for walking). For a rectangle: Perimeter = 2(length + width), Area = length × width. Different formulas for different purposes!"
Grade 6,Mathematics,MATH.G6.MEASUREMENT,rural,land_measurement,,What's the difference between area and perimeter?,"PERIMETER = distance around (like walking around the fence). AREA = space inside (like the ground for planting). For a rectangle: Perimeter = 2(length + width), Area = length × width. Different formulas for different purposes!"
Grade 4,Mathematics,MATH.G4.MEASUREMENT,Mombasa,measurement,,What's the difference between area and perimeter?,"PERIMETER = distance around (like walking around the fence). AREA = space inside (like the ground for walking). For a rectangle: Perimeter = 2(length + width), Area = length × width. Different formulas for different purposes!"
Grade 6,Mathematics,MATH.G6.MONEY,universal,market_shopping,,"If fare costs 150 shillings, how much for 3?",Multiply the cost by the quantity: 150 × 3 = 450 shillings. This is useful at the market or when buying multiple items. You can also add: 150 + 150 + 150 = 450 bob.
Grade 5,Mathematics,MATH.G5.MEASUREMENT,Mombasa,measurement,,What's the difference between area and perimeter?,"PERIMETER = distance around (like walking around the fence). AREA = space inside (like the ground for walking). For a rectangle: Perimeter = 2(length + width), Area = length × width. Different formulas for different purposes!"
Grade 5,Mathematics,MATH.G5.FRACTIONS,rural,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a watermelon into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 4,Mathematics,MATH.G4.MONEY,Nairobi,market_shopping,,"If maize costs 100 shillings, how much for 3?",Multiply the cost by the quantity: 100 × 3 = 300 shillings. This is useful at the market or when buying multiple items. You can also add: 100 + 100 + 100 = 300 bob.
Grade 5,Mathematics,MATH.G5.MONEY,Mombasa,market_shopping,,I have 100 bob and spend 150 bob. How much left?,Subtract what you spend from what you have: 100 - 150 = -50 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 6,Mathematics,MATH.G6.MONEY,Mombasa,market_shopping,,I have 150 bob and spend 100 bob. How much left?,Subtract what you spend from what you have: 150 - 100 = 50 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 4,Mathematics,MATH.G4.FRACTIONS,Nairobi,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a chapati into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 5,Mathematics,MATH.G5.MONEY,rural,market_shopping,,I have 500 bob and spend 150 bob. How much left?,Subtract what you spend from what you have: 500 - 150 = 350 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 5,Mathematics,MATH.G5.FRACTIONS,rural,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a chapati into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 5,Mathematics,MATH.G5.MONEY,Mombasa,market_shopping,,I have 100 bob and spend 50 bob. How much left?,Subtract what you spend from what you have: 100 - 50 = 50 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 4,Mathematics,MATH.G4.FRACTIONS,Nairobi,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a orange into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 6,Mathematics,MATH.G6.MEASUREMENT,rural,land_measurement,,How do I measure the area of my shamba?,"Area measures the space inside. For a rectangle shamba, multiply length × width. If your shamba is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for planting."
Grade 5,Mathematics,MATH.G5.MEASUREMENT,rural,land_measurement,,How do I measure the area of my shamba?,"Area measures the space inside. For a rectangle shamba, multiply length × width. If your shamba is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for planting."
Grade 6,Mathematics,MATH.G6.MONEY,universal,market_shopping,,"If maize costs 500 shillings, how much for 3?",Multiply the cost by the quantity: 500 × 3 = 1500 shillings. This is useful at the market or when buying multiple items. You can also add: 500 + 500 + 500 = 1500 bob.
Grade 5,Mathematics,MATH.G5.FRACTIONS,universal,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a orange into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 4,Mathematics,MATH.G4.MONEY,Nairobi,market_shopping,,"If unga costs 50 shillings, how much for 3?",Multiply the cost by the quantity: 50 × 3 = 150 shillings. This is useful at the market or when buying multiple items. You can also add: 50 + 50 + 50 = 150 bob.
Grade 4,Mathematics,MATH.G4.MEASUREMENT,Nairobi,measurement,,How do I measure the area of my room?,"Area measures the space inside. For a rectangle room, multiply length × width. If your room is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 5,Mathematics,MATH.G5.MEASUREMENT,Mombasa,measurement,,How do I measure the area of my plot?,"Area measures the space inside. For a rectangle plot, multiply length × width. If your plot is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 4,Mathematics,MATH.G4.MEASUREMENT,Mombasa,measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 5,Mathematics,MATH.G5.MONEY,universal,market_shopping,,How do I calculate change from 500 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 500 bob, change = 500 - 80 = 420 shillings. Always count your change at the shop!"
Grade 4,Mathematics,MATH.G4.MONEY,Nairobi,market_shopping,,I have 150 bob and spend 100 bob. How much left?,Subtract what you spend from what you have: 150 - 100 = 50 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 6,Mathematics,MATH.G6.MONEY,rural,market_shopping,,I have 50 bob and spend 200 bob. How much left?,Subtract what you spend from what you have: 50 - 200 = -150 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 5,Mathematics,MATH.G5.MEASUREMENT,Mombasa,measurement,,What's the difference between area and perimeter?,"PERIMETER = distance around (like walking around the fence). AREA = space inside (like the ground for walking). For a rectangle: Perimeter = 2(length + width), Area = length × width. Different formulas for different purposes!"
Grade 5,Mathematics,MATH.G5.MONEY,Nairobi,market_shopping,,"If fare costs 100 shillings, how much for 3?",Multiply the cost by the quantity: 100 × 3 = 300 shillings. This is useful at the market or when buying multiple items. You can also add: 100 + 100 + 100 = 300 bob.
Grade 4,Mathematics,MATH.G4.MEASUREMENT,Mombasa,measurement,,How do I measure the area of my plot?,"Area measures the space inside. For a rectangle plot, multiply length × width. If your plot is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 6,Mathematics,MATH.G6.FRACTIONS,Mombasa,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a chapati into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 5,Mathematics,MATH.G5.MONEY,Mombasa,market_shopping,,"If mandazi costs 1000 shillings, how much for 3?",Multiply the cost by the quantity: 1000 × 3 = 3000 shillings. This is useful at the market or when buying multiple items. You can also add: 1000 + 1000 + 1000 = 3000 bob.
Grade 4,Mathematics,MATH.G4.MEASUREMENT,universal,measurement,,How do I measure the area of my classroom?,"Area measures the space inside. For a rectangle classroom, multiply length × width. If your classroom is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 4,Mathematics,MATH.G4.MEASUREMENT,Nairobi,measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 6,Mathematics,MATH.G6.MONEY,rural,market_shopping,,I have 200 bob and spend 500 bob. How much left?,Subtract what you spend from what you have: 200 - 500 = -300 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 6,Mathematics,MATH.G6.MEASUREMENT,Mombasa,measurement,,How do I measure the area of my plot?,"Area measures the space inside. For a rectangle plot, multiply length × width. If your plot is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 6,Mathematics,MATH.G6.MEASUREMENT,Nairobi,measurement,,What's the difference between area and perimeter?,"PERIMETER = distance around (like walking around the fence). AREA = space inside (like the ground for walking). For a rectangle: Perimeter = 2(length + width), Area = length × width. Different formulas for different purposes!"
Grade 6,Mathematics,MATH.G6.MONEY,Mombasa,market_shopping,,I have 100 bob and spend 1000 bob. How much left?,Subtract what you spend from what you have: 100 - 1000 = -900 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 6,Mathematics,MATH.G6.MEASUREMENT,Mombasa,measurement,,What's the difference between area and perimeter?,"PERIMETER = distance around (like walking around the fence). AREA = space inside (like the ground for walking). For a rectangle: Perimeter = 2(length + width), Area = length × width. Different formulas for different purposes!"
Grade 4,Mathematics,MATH.G4.MONEY,rural,market_shopping,,"If mandazi costs 150 shillings, how much for 3?",Multiply the cost by the quantity: 150 × 3 = 450 shillings. This is useful at the market or when buying multiple items. You can also add: 150 + 150 + 150 = 450 bob.
Grade 4,Mathematics,MATH.G4.FRACTIONS,Mombasa,food_sharing,,How do I add fractions?,"To add fractions, they need the same denominator (bottom number). Think of sharing orange - you can't add 1/2 and 1/4 directly. First make them the same: 1/2 = 2/4, then 2/4 + 1/4 = 3/4. Like combining pieces of orange!"
Grade 5,Mathematics,MATH.G5.FRACTIONS,Mombasa,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a watermelon into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 4,Mathematics,MATH.G4.FRACTIONS,universal,food_sharing,,What does 1/2 mean?,"A fraction shows part of a whole. If you cut a watermelon into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 4,Mathematics,MATH.G4.MEASUREMENT,universal,measurement,,How do I measure the area of my classroom?,"Area measures the space inside. For a rectangle classroom, multiply length × width. If your classroom is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 4,Mathematics,MATH.G4.MONEY,rural,market_shopping,,How do I calculate change from 1000 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 1000 bob, change = 1000 - 80 = 920 shillings. Always count your change at the shop!"
Grade 6,Mathematics,MATH.G6.FRACTIONS,rural,food_sharing,,What is a fraction?,"A fraction shows part of a whole. If you cut a chapati into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 5,Mathematics,MATH.G5.MONEY,Mombasa,market_shopping,,I have 100 bob and spend 200 bob. How much left?,Subtract what you spend from what you have: 100 - 200 = -100 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 6,Mathematics,MATH.G6.MEASUREMENT,rural,land_measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 6,Mathematics,MATH.G6.MONEY,rural,market_shopping,,I have 500 bob and spend 1000 bob. How much left?,Subtract what you spend from what you have: 500 - 1000 = -500 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 6,Mathematics,MATH.G6.FRACTIONS,Mombasa,food_sharing,,How do I add fractions?,"To add fractions, they need the same denominator (bottom number). Think of sharing orange - you can't add 1/2 and 1/4 directly. First make them the same: 1/2 = 2/4, then 2/4 + 1/4 = 3/4. Like combining pieces of orange!"
Grade 5,Mathematics,MATH.G5.MEASUREMENT,universal,measurement,,How do I measure the area of my classroom?,"Area measures the space inside. For a rectangle classroom, multiply length × width. If your classroom is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 6,Mathematics,MATH.G6.MONEY,universal,market_shopping,,How do I calculate change from 200 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 200 bob, change = 200 - 80 = 120 shillings. Always count your change at the shop!"
Grade 5,Mathematics,MATH.G5.FRACTIONS,Nairobi,food_sharing,,What does 1/2 mean?,"A fraction shows part of a whole. If you cut a orange into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 6,Mathematics,MATH.G6.MONEY,rural,market_shopping,,"If unga costs 50 shillings, how much for 3?",Multiply the cost by the quantity: 50 × 3 = 150 shillings. This is useful at the market or when buying multiple items. You can also add: 50 + 50 + 50 = 150 bob.
Grade 6,Mathematics,MATH.G6.FRACTIONS,universal,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a mango into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 6,Mathematics,MATH.G6.MONEY,Nairobi,market_shopping,,How do I calculate change from 500 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 500 bob, change = 500 - 80 = 420 shillings. Always count your change at the shop!"
Grade 6,Mathematics,MATH.G6.MONEY,Nairobi,market_shopping,,How do I calculate change from 50 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 50 bob, change = 50 - 80 = -30 shillings. Always count your change at the shop!"
Grade 6,Mathematics,MATH.G6.MONEY,universal,market_shopping,,"If sukuma wiki costs 1000 shillings, how much for 3?",Multiply the cost by the quantity: 1000 × 3 = 3000 shillings. This is useful at the market or when buying multiple items. You can also add: 1000 + 1000 + 1000 = 3000 bob.
Grade 6,Mathematics,MATH.G6.MEASUREMENT,universal,measurement,,How do I measure the area of my classroom?,"Area measures the space inside. For a rectangle classroom, multiply length × width. If your classroom is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 6,Mathematics,MATH.G6.FRACTIONS,Mombasa,food_sharing,,What does 1/2 mean?,"A fraction shows part of a whole. If you cut a chapati into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 5,Mathematics,MATH.G5.FRACTIONS,rural,food_sharing,,How do I add fractions?,"To add fractions, they need the same denominator (bottom number). Think of sharing watermelon - you can't add 1/2 and 1/4 directly. First make them the same: 1/2 = 2/4, then 2/4 + 1/4 = 3/4. Like combining pieces of watermelon!"
Grade 4,Mathematics,MATH.G4.MEASUREMENT,Mombasa,measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 5,Mathematics,MATH.G5.FRACTIONS,rural,food_sharing,,How do I add fractions?,"To add fractions, they need the same denominator (bottom number). Think of sharing chapati - you can't add 1/2 and 1/4 directly. First make them the same: 1/2 = 2/4, then 2/4 + 1/4 = 3/4. Like combining pieces of chapati!"
Grade 5,Mathematics,MATH.G5.MONEY,rural,market_shopping,,How do I calculate change from 100 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 100 bob, change = 100 - 80 = 20 shillings. Always count your change at the shop!"
Grade 5,Mathematics,MATH.G5.RATIOS,universal,market_shopping,worked_example,"I'm stuck on this problem: If 3 oranges cost 30 shillings, how much do 7 oranges cost?","Good problem! Let's solve it step by step. First, find the cost of 1 orange: 30 ÷ 3 = 10 shillings per orange. Now multiply by 7: 10 × 7 = 70 shillings. So 7 oranges cost 70 shillings. This is called a ratio problem - we're finding the relationship between oranges and cost. Another way: if 3 oranges = 30 bob, then 6 oranges = 60 bob (double both), and 7 oranges = 60 + 10 = 70 bob (add one more orange). Try this: If 4 mandazi cost 40 shillings, how much do 9 mandazi cost?"
Grade 4,Mathematics,MATH.G4.MEASUREMENT,rural,land_measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 6,Mathematics,MATH.G6.FRACTIONS,rural,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a watermelon into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 6,Mathematics,MATH.G6.MONEY,universal,market_shopping,,"If mandazi costs 100 shillings, how much for 3?",Multiply the cost by the quantity: 100 × 3 = 300 shillings. This is useful at the market or when buying multiple items. You can also add: 100 + 100 + 100 = 300 bob.
Grade 6,Mathematics,MATH.G6.MEASUREMENT,universal,measurement,,How do I measure the area of my classroom?,"Area measures the space inside. For a rectangle classroom, multiply length × width. If your classroom is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 4,Mathematics,MATH.G4.MONEY,Nairobi,market_shopping,,I have 50 bob and spend 1000 bob. How much left?,Subtract what you spend from what you have: 50 - 1000 = -950 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 4,Mathematics,MATH.G4.MEASUREMENT,rural,land_measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 6,Mathematics,MATH.G6.MEASUREMENT,universal,measurement,,What's the difference between area and perimeter?,"PERIMETER = distance around (like walking around the fence). AREA = space inside (like the ground for walking). For a rectangle: Perimeter = 2(length + width), Area = length × width. Different formulas for different purposes!"
Grade 6,Mathematics,MATH.G6.PRIME_NUMBERS,Nairobi,number_theory,,What's a prime number?,"A prime number is a number that can only be divided evenly by 1 and itself. Think of it like a matatu that only stops at 2 places - the start and the end! Examples: 2, 3, 5, 7, 11, 13. Let's check 7: Can we divide 7 evenly by 2? No. By 3? No. By 4, 5, 6? No, no, no. Only by 1 and 7. So 7 is prime! But 6 is NOT prime because 6 ÷ 2 = 3 (it divides evenly by 2 and 3, not just 1 and 6). The number 1 is special - it's not prime. The number 2 is the only even prime number. Can you tell me if 9 is prime? Try dividing it by different numbers!"
Grade 6,Mathematics,MATH.G6.MONEY,Nairobi,market_shopping,,How do I calculate change from 100 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 100 bob, change = 100 - 80 = 20 shillings. Always count your change at the shop!"
Grade 6,Mathematics,MATH.G6.FRACTIONS,rural,food_sharing,,What is a fraction?,"A fraction shows part of a whole. If you cut a mango into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 4,Mathematics,MATH.G4.MEASUREMENT,universal,measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 5,Mathematics,MATH.G5.MONEY,Mombasa,market_shopping,,I have 1000 bob and spend 100 bob. How much left?,Subtract what you spend from what you have: 1000 - 100 = 900 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 6,Mathematics,MATH.G6.MEASUREMENT,Nairobi,measurement,,How do I convert meters to centimeters?,"1 meter = 100 centimeters. To convert: multiply by 100. Example: 3 meters = 3 × 100 = 300 cm. Think like money: 1 shilling = 100 cents. Same idea! To go back (cm to m), divide by 100."
Grade 6,Mathematics,MATH.G6.MONEY,rural,market_shopping,,How do I calculate change from 150 shillings?,"Change = Amount given - Cost of item. If you buy something for 80 bob and give 150 bob, change = 150 - 80 = 70 shillings. Always count your change at the shop!"
Grade 6,Mathematics,MATH.G6.FRACTIONS,Mombasa,food_sharing,,What does 1/2 mean?,"A fraction shows part of a whole. If you cut a watermelon into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 5,Mathematics,MATH.G5.FRACTIONS,Nairobi,food_sharing,,What does 1/2 mean?,"A fraction shows part of a whole. If you cut a chapati into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 4,Mathematics,MATH.G4.FRACTIONS,Nairobi,food_sharing,,What is a fraction?,"A fraction shows part of a whole. If you cut a mango into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 6,Mathematics,MATH.G6.FRACTIONS,Mombasa,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a orange into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 6,Mathematics,MATH.G6.MONEY,Nairobi,market_shopping,,"If mandazi costs 50 shillings, how much for 3?",Multiply the cost by the quantity: 50 × 3 = 150 shillings. This is useful at the market or when buying multiple items. You can also add: 50 + 50 + 50 = 150 bob.
Grade 6,Mathematics,MATH.G6.MEASUREMENT,universal,measurement,,How do I measure the area of my classroom?,"Area measures the space inside. For a rectangle classroom, multiply length × width. If your classroom is 10m long and 5m wide, area = 10 × 5 = 50 square meters. This tells you how much space you have for furniture."
Grade 6,Mathematics,MATH.G6.FRACTIONS,Mombasa,food_sharing,,Why do fractions have two numbers?,"A fraction shows part of a whole. If you cut a mango into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 5,Mathematics,MATH.G5.MONEY,Nairobi,market_shopping,,I have 1000 bob and spend 500 bob. How much left?,Subtract what you spend from what you have: 1000 - 500 = 500 shillings left. This is like M-Pesa - you check your balance before and after sending money.
Grade 6,Mathematics,MATH.G6.FRACTIONS,Nairobi,food_sharing,,What does 1/2 mean?,"A fraction shows part of a whole. If you cut a orange into equal pieces, each piece is a fraction. 1/2 means 1 out of 2 equal pieces. The bottom number (denominator) tells how many pieces total, the top number (numerator) tells how many pieces you have."
Grade 5,Mathematics,MATH.G5.FRACTIONS,rural,food_sharing,,How do I add fractions?,"To add fractions, they need the same denominator (bottom number). Think of sharing watermelon - you can't add 1/2 and 1/4 directly. First make them the same: 1/2 = 2/4, then 2/4 + 1/4 = 3/4. Like combining pieces of watermelon!"
Grade 5,Mathematics,MATH.G5.DATA,universal,data_visualization,,What's the difference between a bar graph and a pie chart?,"Great question! Both show data, but differently. A bar graph uses bars (rectangles) to compare amounts. Example: showing how many students like different fruits - 10 like mangoes, 8 like oranges, 5 like bananas. Each fruit gets a bar, and taller bars mean more students. A pie chart is a circle divided into slices, like cutting a pizza. It shows parts of a whole. Example: if your family spends money on food (50%), rent (30%), and transport (20%), a pie chart shows these as slices of a circle. Use bar graphs to compare different things. Use pie charts to show how a whole is divided into parts. Which would you use to show matatu routes in your town?"
